Rk,G,Date,Age,Tm,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/- adj,DFS
71,68,3/23/2016,28-009,GSW,LAC,1,1,37:26:00,12,23,0.522,4,10,0.4,5,6,0.833,0,4,4,5,3,0,1,3,33,26.8,4,53
72,69,3/25/2016,28-011,GSW,DAL,1,1,35:11:00,9,18,0.5,5,12,0.417,10,11,0.909,0,8,8,8,4,0,3,0,33,32.6,15,64
73,70,3/27/2016,28-013,GSW,PHI,1,1,33:12:00,7,16,0.438,2,9,0.222,4,5,0.8,0,3,3,8,4,0,4,0,20,17.7,4,42.8
74,71,3/29/2016,28-015,GSW,WAS,1,1,34:42:00,9,20,0.45,6,8,0.75,2,2,1,0,7,7,7,5,0,5,3,26,21.4,15,55.8
75,72,3/30/2016,28-016,GSW,UTA,1,1,42:16:00,11,23,0.478,5,10,0.5,4,5,0.8,2,5,7,4,2,0,5,4,31,20,6,49.8
76,73,4/1/2016,28-018,GSW,BOS,0,1,36:37:00,9,19,0.474,8,14,0.571,3,3,1,0,5,5,6,1,0,9,2,29,16.2,1,45.8
77,74,4/3/2016,28-020,GSW,POR,1,1,34:35:00,13,21,0.619,9,13,0.692,4,4,1,2,4,6,7,2,1,4,2,39,34.9,16,65.5
78,75,4/5/2016,28-022,GSW,MIN,0,1,42:35:00,7,25,0.28,4,14,0.286,3,3,1,2,4,6,15,3,0,3,4,21,17.8,-3,59
79,76,4/7/2016,28-024,GSW,SAS,1,1,36:17:00,11,19,0.579,3,7,0.429,2,2,1,0,5,5,9,2,0,3,2,27,24.1,14,50.8
80,77,4/9/2016,28-026,GSW,MEM,1,1,33:59:00,7,22,0.318,3,14,0.214,0,0,,0,9,9,8,1,0,2,1,17,11.3,10,42.8
81,78,4/10/2016,28-027,GSW,SAS,1,1,35:22:00,13,22,0.591,4,9,0.444,7,7,1,0,5,5,5,2,0,4,4,37,28.2,7,54.8
82,79,4/13/2016,28-030,GSW,MEM,1,1,29:46:00,15,24,0.625,10,19,0.526,6,6,1,1,3,4,6,2,0,2,2,46,40.2,19,68
